THR10-II-W Symbol table
FX1EnableState : 280

FX1MixTypeState : 281

FX2MixState : 282

FX2EnableState : 283

FX2MixTypeState : 284

FX3MixState : 285

FX3EnableState : 286

FX3MixTypeState : 287

FX4MixState : 288

FX4EnableState : 289

AmpEnableState : 290

GateEnableState : 291

SpkSimEnableState : 292

FX4MixTypeState : 293

SpkSimTypeState : 294

ThreshState : 295

FX4WetSendState : 296

AmpStereoToggle : 297

FX4WetSend : 298

AmpEnable : 299

FX3MixType : 300

FX2MixType : 301

FX3Enable : 302

FX2Enable : 303

FX1Enable : 304

FX1MixType : 305

FX4Enable : 306

FX4MixType : 307

Tuner : 308

ReferenceState : 309

PeriodState : 310

EnableState : 311

Reference : 312

Period : 313

Enable : 314

Y2Main : 315

GuitarProc : 316

GuitarEQL : 317

DEQ_L_GT : 318

AudioEQL : 319

DEQ_L : 320

AudioEQR : 321

DEQ_R : 322

GuitarEQR : 323

DEQ_R_GT : 324

TunerReferenceState : 325

OutputLimiterGain : 326

GuitInputGain : 327

MasterVolume : 328

GuitarProcEnable : 329

AudioMixLevel : 330

AudioVolume : 331

UsbInSel : 332

GuitProcInputGain : 333

TunerReference : 334

TunerEnable : 335

GuitProcOutputGain : 336

USBOutLevel : 337

USBInLevel : 338

AudioEQEnable : 339

HPOutputLimiterGain : 340

GuitarVolume : 341

OutputLimiterEnable : 342

DEQEnable : 343

DEQGTEnable : 344

ExtendedStereoEnable : 345

GuitarVolPad : 346

OutputLimiterDecay : 347

OutputLimiterAtk : 348

OutputLimiterTh : 349

HPEnable : 350

GuitarMute : 351

HPOutputLimiterTubeGain : 352

WideStereoWidth : 353

GuitarDIEnable : 354

GtInAdjGain : 355

BluetoothInLevel : 356

AuxInLevel : 357

GuitarCenter : 358

UsbOutSel : 359

GuitarEQEnable : 360

UsbEchoBackEnable : 361

Order : 362

Connection : 363

Type1 : 364

Fc : 365

Gain1_dB : 366

Q : 367

Level1 : 368

Type2 : 369

Gain2_dB : 370

Level2 : 371

SHIFT : 372
